x,Normalized Accuracy,Model Size (MB),Time Usage
"[34, 6, 7, 40, 11, 16, 50, 19, 27, 60]",0.5397,101929.95,2500.0
"[65, 34, 37, 14, 16, 49, 21, 24, 26, 28]",0.5974,100297.92,2199.9999999999995
"[66, 58, 38, 42, 74, 13, 49, 24, 26, 63]",0.695,100297.92,2800.0
"[33, 68, 37, 40, 9, 45, 46, 54, 22, 61]",0.6747,101929.95,2850.0
"[66, 7, 39, 14, 18, 52, 24, 56, 62, 63]",0.6682,101929.95,2350.0
"[1, 68, 41, 43, 45, 14, 47, 25, 60, 57]",0.2668,100297.92,2400.0
"[64, 67, 69, 40, 16, 50, 23, 25, 26, 61]",0.7106,101929.95,2150.0000000000005
"[65, 37, 38, 8, 14, 15, 22, 57, 25, 31]",0.6051,103561.98,2250.0
"[32, 40, 9, 46, 52, 55, 56, 59, 31, 63]",0.7072,103561.98,2150.0000000000005
"[65, 69, 43, 44, 12, 15, 16, 20, 21, 59]",0.6116,105194.02,2350.0
"[64, 67, 37, 42, 43, 12, 29, 20, 54, 61]",0.6645,101929.95,2750.0
