x,Normalized Accuracy,Model Size (MB),Time Usage
"[2, 72, 44, 47, 16, 17, 50, 52, 21, 24]",0.5721,101929.95,2100.0
"[66, 58, 38, 42, 74, 13, 49, 24, 26, 63]",0.695,100297.92,2800.0
"[64, 67, 39, 7, 10, 45, 15, 48, 54, 31]",0.6789,118394.29,2000.0
"[64, 37, 40, 41, 14, 47, 48, 16, 26, 61]",0.6792,103561.98,2100.0
"[66, 38, 7, 42, 11, 46, 15, 47, 22, 31]",0.6171,101929.95,2050.0
"[64, 67, 39, 7, 10, 45, 15, 48, 54, 31]",0.6789,100297.92,2050.0
"[64, 37, 40, 41, 14, 47, 48, 16, 26, 61]",0.6792,103561.98,2050.0
"[64, 37, 40, 41, 14, 47, 48, 16, 26, 61]",0.6792,103561.98,2199.9999999999995
"[64, 37, 40, 41, 14, 47, 48, 16, 26, 61]",0.6792,103561.98,2100.0
"[64, 67, 39, 7, 10, 45, 15, 48, 54, 31]",0.6789,100297.92,2850.0
"[64, 37, 40, 41, 14, 47, 48, 16, 26, 61]",0.6792,103561.98,2100.0
