x,Normalized Accuracy,Model Size (MB),Time Usage
"[12, 18, 19, 22, 23, 24, 25, 27, 36, 38, 43, 44, 45, 46, 48, 50, 57, 59, 67, 71]",0.416,79081.5,1950.0
"[11, 14, 17, 21, 23, 24, 26, 28, 30, 32, 33, 34, 36, 38, 40, 41, 42, 43, 46, 47, 54, 57, 58, 67]",0.3264,67657.27,1850.0
"[9, 11, 12, 13, 15, 22, 25, 27, 28, 30, 32, 34, 36, 37, 38, 45, 46, 47, 51, 52, 53, 54, 63, 74]",0.288,70921.34,1700.0
"[1, 7, 8, 19, 21, 24, 26, 27, 29, 31, 32, 33, 36, 37, 39, 40, 45, 49, 50, 55, 60, 64, 67, 75]",0.2611,66025.24,1550.0000000000005
"[7, 13, 15, 17, 18, 19, 21, 22, 24, 27, 28, 29, 30, 31, 33, 34, 42, 47, 49, 50, 52, 53, 59, 60]",0.2764,72553.37,1700.0
"[4, 8, 9, 16, 17, 18, 19, 20, 23, 24, 25, 26, 28, 29, 39, 41, 43, 45, 54, 58, 60, 61, 66, 69]",0.2623,70921.34,1700.0
"[17, 19, 24, 25, 29, 31, 33, 35, 37, 38, 40, 41, 42, 43, 45, 47, 50, 56, 59, 62, 67]",0.3888,72553.37,1800.0
"[9, 17, 19, 20, 23, 25, 28, 29, 30, 32, 35, 36, 37, 38, 45, 47, 51, 57, 60, 62, 63, 75]",0.3344,72553.37,1550.0000000000005
"[7, 13, 18, 20, 21, 25, 26, 27, 30, 31, 33, 37, 41, 43, 45, 48, 49, 60, 71, 72, 74]",0.2856,74185.4,1750.0
"[9, 11, 14, 16, 20, 22, 23, 25, 28, 30, 33, 34, 35, 36, 39, 44, 46, 49, 53, 54, 58, 60]",0.3,69289.31,1500.0
"[6, 12, 18, 21, 22, 23, 24, 27, 28, 29, 33, 36, 38, 40, 41, 42, 43, 44, 45, 47, 49, 53, 56, 59, 60, 63, 66]",0.3205,62761.18,1550.0000000000005
