x,Normalized Accuracy,Model Size (MB),Time Usage
"[36, 68, 39, 8, 12, 44, 28, 47, 17, 50, 19, 23, 26, 59, 60]",0.3971,85609.63,2050.0
"[5, 8, 12, 17, 18, 22, 24, 27, 33, 37, 38, 39, 50, 54, 60, 61, 63, 66, 74, 77]",0.2992,74185.4,2100.0
"[32, 33, 65, 36, 41, 44, 13, 48, 16, 19, 25, 53, 22, 23, 24, 57, 52, 62]",0.3856,82345.56,2850.0
"[2, 56, 68, 66, 40, 73, 10, 44, 13, 46, 16, 22, 24, 58, 60, 30]",0.3637,80713.53,2400.0
"[32, 65, 35, 4, 44, 13, 46, 48, 16, 50, 19, 49, 53, 23, 25, 59]",0.2678,83977.6,1850.0
"[32, 34, 67, 37, 69, 71, 8, 10, 12, 76, 44, 47, 49, 22, 57, 61]",0.381,80713.53,1750.0
"[32, 34, 67, 37, 69, 71, 8, 10, 12, 76, 44, 47, 49, 22, 57, 61]",0.381,80713.53,1750.0
"[0, 64, 2, 4, 36, 6, 8, 41, 10, 11, 45, 46, 14, 16, 19, 20, 22, 31]",0.2681,80713.53,1650.0
"[64, 65, 67, 69, 71, 72, 74, 76, 78, 48, 51, 52, 21, 22, 56, 60, 61]",0.5378,85609.63,2000.0
"[22, 30, 40, 55, 57, 59, 60, 62, 63, 64, 65, 67, 69, 70, 71, 72, 73, 74, 76, 78]",0.5538,82345.56,2850.0
"[32, 34, 67, 37, 69, 71, 8, 10, 12, 76, 44, 47, 49, 22, 57, 61]",0.381,80713.53,2850.0
